Article,Variables,Trend,Timeseries length [yr],Period,Number of individual years covers,Frequency [obs/yr],Number of stations,Stations,River basin,Nation,Continent,Basin area [km2],Method,Method parameters,,,,,,,,
67,sulfate,-,31,1983-2013,31,biweekly,1,Brugg,Aar River,Switzerland,Europe,17779,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = - 1.5",,,,,,,,
67,sulfate,-,31,1983-2013,31,biweekly,1,Andelfingen,Thur River,Switzerland,Europe,1696,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = - 3.9",,,,,,,,
67,Silicic acid,+,31,1983-2013,31,biweekly,1,Village-Neuf ,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = 0.28",,,,,,,,
67,Silicic acid,+,31,1983-2013,31,biweekly,1,Rekingen,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = 0.36",,,,,,,,
67,Silicic acid,-,30,1984-2013,30,biweekly,1,Diepoldsau,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.01, slope = - 0.042",,,,,,,,
67,Silicic acid,-,31,1983-2013,31,biweekly,1,Chancy,Rh“ne River,Switzerland,Europe,"96,619",Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = - 0.19",,,,,,,,
67,Silicic acid,-,31,1983-2013,31,biweekly,1,Porte-du-Scex,Rh“ne River,Switzerland,Europe,"96,619",Linear regression of 5-year STL trend components from 1983-2013,"p < 0.05, slope = - 0.073",,,,,,,,
67,Silicic acid,+,31,1983-2013,31,biweekly,1,Brugg,Aar River,Switzerland,Europe,17779,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = 0.17",,,,,,,,
67,Silicic acid,-,31,1983-2013,31,biweekly,1,Andelfingen,Thur River,Switzerland,Europe,1696,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.05, slope = - 0.12",,,,,,,,
67,Sodium,-,31,1983-2013,31,biweekly,1,Village-Neuf ,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.05, slope = - 1.3",,,,,,,,
67,Sodium,+,31,1983-2013,31,biweekly,1,Rekingen,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = 2.1",,,,,,,,
67,Sodium,+,30,1984-2013,30,biweekly,1,Diepoldsau,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = 2.1",,,,,,,,
67,Sodium,+,31,1983-2013,31,biweekly,1,Chancy,Rh“ne River,Switzerland,Europe,"96,619",Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = 4.3",,,,,,,,
67,Sodium,+,31,1983-2013,31,biweekly,1,Porte-du-Scex,Rh“ne River,Switzerland,Europe,"96,619",Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = 4.4",,,,,,,,
67,Sodium,+,31,1983-2013,31,biweekly,1,Brugg,Aar River,Switzerland,Europe,17779,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = 3.4",,,,,,,,
67,Sodium,+,31,1983-2013,31,biweekly,1,Andelfingen,Thur River,Switzerland,Europe,1696,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = 3.2",,,,,,,,
67,chloride,-,31,1983-2013,31,biweekly,1,Village-Neuf ,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.05, slope = - 1.7",,,,,,,,
67,chloride,+,31,1983-2013,31,biweekly,1,Rekingen,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = 2.1",,,,,,,,
67,chloride,+,30,1984-2013,30,biweekly,1,Diepoldsau,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = 2.5",,,,,,,,
67,chloride,+,31,1983-2013,31,biweekly,1,Chancy,Rh“ne River,Switzerland,Europe,"96,619",Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = 4.9",,,,,,,,
67,chloride,+,31,1983-2013,31,biweekly,1,Porte-du-Scex,Rh“ne River,Switzerland,Europe,"96,619",Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = 5.1",,,,,,,,
67,chloride,+,31,1983-2013,31,biweekly,1,Brugg,Aar River,Switzerland,Europe,17779,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = 1.3",,,,,,,,
67,chloride,+,31,1983-2013,31,biweekly,1,Andelfingen,Thur River,Switzerland,Europe,1696,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = 4.8",,,,,,,,
67,nitrate,-,31,1983-2013,31,biweekly,1,Village-Neuf ,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = -10",,,,,,,,
67,nitrate,0,31,1983-2013,31,biweekly,1,Rekingen,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,p > 0.05,,,,,,,,
67,nitrate,0,30,1984-2013,30,biweekly,1,Diepoldsau,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,p > 0.05,,,,,,,,
67,nitrate,+,31,1983-2013,31,biweekly,1,Chancy,Rh“ne River,Switzerland,Europe,"96,619",Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = 8",,,,,,,,
67,nitrate,0,31,1983-2013,31,biweekly,1,Porte-du-Scex,Rh“ne River,Switzerland,Europe,"96,619",Linear regression of 5-year STL trend components from 1983-2013,p > 0.05,,,,,,,,
67,nitrate,-,31,1983-2013,31,biweekly,1,Brugg,Aar River,Switzerland,Europe,17779,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = - 9.9",,,,,,,,
67,nitrate,-,31,1983-2013,31,biweekly,1,Andelfingen,Thur River,Switzerland,Europe,1696,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = 17",,,,,,,,
67,total nitrogen,-,31,1983-2013,31,biweekly,1,Village-Neuf ,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = - 34",,,,,,,,
67,total nitrogen,-,31,1983-2013,31,biweekly,1,Rekingen,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = - 19",,,,,,,,
67,total nitrogen,-,30,1984-2013,30,biweekly,1,Diepoldsau,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = - 13",,,,,,,,
67,total nitrogen,-,31,1983-2013,31,biweekly,1,Chancy,Rh“ne River,Switzerland,Europe,"96,619",Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = - 9.0",,,,,,,,
67,total nitrogen,-,31,1983-2013,31,biweekly,1,Porte-du-Scex,Rh“ne River,Switzerland,Europe,"96,619",Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = -15",,,,,,,,
67,total nitrogen,-,31,1983-2013,31,biweekly,1,Brugg,Aar River,Switzerland,Europe,17779,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = - 32",,,,,,,,
67,total nitrogen,-,31,1983-2013,31,biweekly,1,Andelfingen,Thur River,Switzerland,Europe,1696,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.001, slope = - 52",,,,,,,,
67,pH,0,19,1995-2013,19,biweekly,1,Village-Neuf ,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,p > 0.05,,,,,,,,
67,pH,+,19,1995-2013,19,biweekly,1,Rekingen,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.05, slope = 4.6",,,,,,,,
67,pH,0,19,1995-2013,19,biweekly,1,Diepoldsau,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,p > 0.05,,,,,,,,
67,pH,0,19,1995-2013,19,biweekly,1,Chancy,Rh“ne River,Switzerland,Europe,"96,619",Linear regression of 5-year STL trend components from 1983-2013,p > 0.05,,,,,,,,
67,pH,+,19,1995-2013,19,biweekly,1,Porte-du-Scex,Rh“ne River,Switzerland,Europe,"96,619",Linear regression of 5-year STL trend components from 1983-2013,"p < 0.05, slope = 6.0",,,,,,,,
67,pH,+,19,1995-2013,19,biweekly,1,Brugg,Aar River,Switzerland,Europe,17779,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.05, slope = 4.6",,,,,,,,
67,pH,-,19,1995-2013,19,biweekly,1,Andelfingen,Thur River,Switzerland,Europe,1696,Linear regression of 5-year STL trend components from 1983-2013,p > 0.05,,,,,,,,
67,Magnesium,+,31,1983-2013,31,biweekly,1,Village-Neuf ,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.01, slope = 2.1",,,,,,,,
67,Magnesium,+,31,1983-2013,31,biweekly,1,Rekingen,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.01, slope = 3.2",,,,,,,,
67,Magnesium,0,30,1984-2013,30,biweekly,1,Diepoldsau,Rhine River,Switzerland,Europe,185260,Linear regression of 5-year STL trend components from 1983-2013,p > 0.05,,,,,,,,
67,Magnesium,+,31,1983-2013,31,biweekly,1,Chancy,Rh“ne River,Switzerland,Europe,"96,619",Linear regression of 5-year STL trend components from 1983-2013,"p < 0.05, slope = 1.8",,,,,,,,
67,Magnesium,+,31,1983-2013,31,biweekly,1,Porte-du-Scex,Rh“ne River,Switzerland,Europe,"96,619",Linear regression of 5-year STL trend components from 1983-2013,"p < 0.01, slope = 2.1",,,,,,,,
67,Magnesium,+,31,1983-2013,31,biweekly,1,Brugg,Aar River,Switzerland,Europe,17779,Linear regression of 5-year STL trend components from 1983-2013,"p < 0.05, slope = 4.4",,,,,,,,
67,Magnesium,0,31,1983-2013,31,biweekly,1,Andelfingen,Thur River,Switzerland,Europe,1696,Linear regression of 5-year STL trend components from 1983-2013,p > 0.05,,,,,,,,
68,chloride,-,11,2005-2015,11,monthly,1,"Marico-Bosveld (RQIS: 90323; ? 25.470440ø, 26.392580ø)",Marico River,South Africa,Africa,13208,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p < 0.05, Correlation coefficient (r) = - 0.31",,,,,,,,
68,chloride,-,11,2005-2015,11,monthly,1,"Hartbeespoort (RQIS: 90240; ? 25.726540ø, 27.848839ø)",Crocodile (West) River,South Africa,Africa,29572,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p < 0.05, Correlation coefficient (r) = - 0.15",,,,,,,,
68,chloride,0,11,2005-2015,11,monthly,1,"RQIS: 90233; ? 24.695140ø, 27.409060ø",Crocodile (West) River,South Africa,Africa,29572,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p > 0.05, Correlation coefficient (r) = 0.08",,,,,,,,
68,chloride,0,11,2005-2015,11,monthly,1,"RQIS: 90214; ? 25.723767ø, 27.847873ø",Crocodile (West) River,South Africa,Africa,29572,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p > 0.05, Correlation coefficient (r) = -0.13",,,,,,,,
68,Electrical conductivity,-,11,2005-2015,11,monthly,1,"Marico-Bosveld (RQIS: 90323; ? 25.470440ø, 26.392580ø)",Marico River,South Africa,Africa,13208,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p < 0.05, Correlation coefficient (r) = - 0.44",,,,,,,,
68,Electrical conductivity,+,11,2005-2015,11,monthly,1,"Hartbeespoort (RQIS: 90240; ? 25.726540ø, 27.848839ø)",Crocodile (West) River,South Africa,Africa,29572,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p < 0.05, Correlation coefficient (r) = 0.29",,,,,,,,
68,Electrical conductivity,+,11,2005-2015,11,monthly,1,"RQIS: 90233; ? 24.695140ø, 27.409060ø",Crocodile (West) River,South Africa,Africa,29572,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p < 0.05, Correlation coefficient (r) = 0.26",,,,,,,,
68,Electrical conductivity,+,11,2005-2015,11,monthly,1,"RQIS: 90214; ? 25.723767ø, 27.847873ø",Crocodile (West) River,South Africa,Africa,29572,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p < 0.05, Correlation coefficient (r) = 0.34",,,,,,,,
68,Dissolved inorganic nitrogen,0,11,2005-2015,11,monthly,1,"Marico-Bosveld (RQIS: 90323; ? 25.470440ø, 26.392580ø)",Marico River,South Africa,Africa,13208,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p > 0.05, Correlation coefficient (r) = 0.09",,,,,,,,
68,Dissolved inorganic nitrogen,+,11,2005-2015,11,monthly,1,"Hartbeespoort (RQIS: 90240; ? 25.726540ø, 27.848839ø)",Crocodile (West) River,South Africa,Africa,29572,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p < 0.05, Correlation coefficient (r) = 0.62",,,,,,,,
68,Dissolved inorganic nitrogen,+,11,2005-2015,11,monthly,1,"RQIS: 90233; ? 24.695140ø, 27.409060ø",Crocodile (West) River,South Africa,Africa,29572,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p < 0.05, Correlation coefficient (r) = 0.58",,,,,,,,
68,Dissolved inorganic nitrogen,+,11,2005-2015,11,monthly,1,"RQIS: 90214; ? 25.723767ø, 27.847873ø",Crocodile (West) River,South Africa,Africa,29572,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p < 0.05, Correlation coefficient (r) = 0.6",,,,,,,,
68,Sodium,0,11,2005-2015,11,monthly,1,"Marico-Bosveld (RQIS: 90323; ? 25.470440ø, 26.392580ø)",Marico River,South Africa,Africa,13208,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p > 0.05, Correlation coefficient (r) = - 0.01",,,,,,,,
68,Sodium,+,11,2005-2015,11,monthly,1,"Hartbeespoort (RQIS: 90240; ? 25.726540ø, 27.848839ø)",Crocodile (West) River,South Africa,Africa,29572,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p < 0.05, Correlation coefficient (r) = 0.20",,,,,,,,
68,Sodium,+,11,2005-2015,11,monthly,1,"RQIS: 90233; ? 24.695140ø, 27.409060ø",Crocodile (West) River,South Africa,Africa,29572,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p < 0.05, Correlation coefficient (r) = 0.17",,,,,,,,
68,Sodium,+,11,2005-2015,11,monthly,1,"RQIS: 90214; ? 25.723767ø, 27.847873ø",Crocodile (West) River,South Africa,Africa,29572,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p < 0.05, Correlation coefficient (r) = 0.17",,,,,,,,
68,phosphate,-,11,2005-2015,11,monthly,1,"Marico-Bosveld (RQIS: 90323; ? 25.470440ø, 26.392580ø)",Marico River,South Africa,Africa,13208,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p < 0.05, Correlation coefficient (r) = - 0.38",,,,,,,,
68,phosphate,+,11,2005-2015,11,monthly,1,"Hartbeespoort (RQIS: 90240; ? 25.726540ø, 27.848839ø)",Crocodile (West) River,South Africa,Africa,29572,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p < 0.05, Correlation coefficient (r) = 0.25",,,,,,,,
68,phosphate,-,11,2005-2015,11,monthly,1,"RQIS: 90233; ? 24.695140ø, 27.409060ø",Crocodile (West) River,South Africa,Africa,29572,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p < 0.05, Correlation coefficient (r) = - 0.19",,,,,,,,
68,phosphate,+,11,2005-2015,11,monthly,1,"RQIS: 90214; ? 25.723767ø, 27.847873ø",Crocodile (West) River,South Africa,Africa,29572,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p < 0.05, Correlation coefficient (r) = 0.24",,,,,,,,
68,sulfate,0,11,2005-2015,11,monthly,1,"Marico-Bosveld (RQIS: 90323; ? 25.470440ø, 26.392580ø)",Marico River,South Africa,Africa,13208,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p > 0.05, Correlation coefficient (r) = - 0.20",,,,,,,,
68,sulfate,+,11,2005-2015,11,monthly,1,"Hartbeespoort (RQIS: 90240; ? 25.726540ø, 27.848839ø)",Crocodile (West) River,South Africa,Africa,29572,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p < 0.05, Correlation coefficient (r) = 0.51",,,,,,,,
68,sulfate,+,11,2005-2015,11,monthly,1,"RQIS: 90233; ? 24.695140ø, 27.409060ø",Crocodile (West) River,South Africa,Africa,29572,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p < 0.05, Correlation coefficient (r) = 0.22",,,,,,,,
68,sulfate,+,11,2005-2015,11,monthly,1,"RQIS: 90214; ? 25.723767ø, 27.847873ø",Crocodile (West) River,South Africa,Africa,29572,"Pearson?s correlation coefficient and Spearman?s rank correlation coefficient tests for parametric and non-parametric data, respectively","p < 0.05, Correlation coefficient (r) = 0.43",,,,,,,,
69,total phosphorus,+,29,1963-1991,29,3-week intervals,1,"?ivoho?? Bridge (49.7657N, 14.4134E)",Vltava River,Czechia,Europe,28090,Mann-Kendall test,"p < 0.001, slope = 0.55",,,,,,,,
69,total phosphorus,-,24,1992-2015,24,3-week intervals,1,"?ivoho?? Bridge (49.7657N, 14.4134E)",Vltava River,Czechia,Europe,28090,Mann-Kendall test,"p < 0.001, slope = -0.85",,,,,,,,
69,water temperature,+,53,1963-2015,53,3-week intervals,1,"?ivoho?? Bridge (49.7657N, 14.4134E)",Vltava River,Czechia,Europe,28090,Mann-Kendall test,"p < 0.05, slope = 0.03 ?C yr-1",,,,,,,,
70,Water level,-,42,1974-2015,42,daily,1,"Porto S?o Jos‚ Jusante, code 64575003",Upper Paran  River,Brazil,South America,891000,two-way permutation MANOVA,"p < 0.01, F (pseudo-F) = 5.8",,,,,,,,
70,Water level,0,37,1974-2010,37,daily,1,"lower station (UHE Itaipu Ivinhema, code 64617000)",Ivinhema River,Brazil,South America,38200,two-way permutation MANOVA,"F=2.1, p=0.08",,,,,,,,
70,Water level,0,32,1984-2015,32,daily,1,"upper station (Fazenda Ipacara¡, code 64614000)",Ivinhema River,Brazil,South America,38200,two-way permutation MANOVA,"F=0.6, p=0.59",,,,,,,,
71,water temperature,0,17,1997-2013,17,monthly,1,"Berowra Ferry (site 60; 33.5995øS, 151.1233øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.715, Sens slope = - 0.002",,,,,,,,
71,Electrical conductivity,-,17,1997-2013,17,monthly,1,"Berowra Ferry (site 60; 33.5995øS, 151.1233øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.000, Sens slope = - 0.04",,,,,,,,
71,Turbidity,0,17,1997-2013,17,monthly,1,"Berowra Ferry (site 60; 33.5995øS, 151.1233øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.080, Sens slope = 0.002",,,,,,,,
71,Dissolved oxygen,-,17,1997-2013,17,monthly,1,"Berowra Ferry (site 60; 33.5995øS, 151.1233øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.001, Sens slope = - 0.069",,,,,,,,
71,pH,-,17,1997-2013,17,monthly,1,"Berowra Ferry (site 60; 33.5995øS, 151.1233øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.000, Sens slope = - 0.001",,,,,,,,
71,Salinity,-,17,1997-2013,17,monthly,1,"Berowra Ferry (site 60; 33.5995øS, 151.1233øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.000, Sens slope = - 0.028",,,,,,,,
71,suspended solids,0,17,1997-2013,17,monthly,1,"Berowra Ferry (site 60; 33.5995øS, 151.1233øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.444, Sens slope = 0",,,,,,,,
71,Ammonium,-,17,1997-2013,17,monthly,1,"Berowra Ferry (site 60; 33.5995øS, 151.1233øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.001, Sens slope = ?0.00008",,,,,,,,
71,Oxidised nitrogen,-,17,1997-2013,17,monthly,1,"Berowra Ferry (site 60; 33.5995øS, 151.1233øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p < 0.0001, Sens slope = ?0.002",,,,,,,,
71,total nitrogen,-,17,1997-2013,17,monthly,1,"Berowra Ferry (site 60; 33.5995øS, 151.1233øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p < 0.0001, Sens slope = ?0.003",,,,,,,,
71,total phosphorus,0,17,1997-2013,17,monthly,1,"Berowra Ferry (site 60; 33.5995øS, 151.1233øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.180, Sens slope = ?0.000007",,,,,,,,
71,Soluble reactive phosphorus,0,11,2003-2013,11,monthly,1,"Berowra Ferry (site 60; 33.5995øS, 151.1233øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.321, Sens slope = 0.00001",,,,,,,,
71,Chlorophyll-a,0,17,1997-2013,17,monthly,1,"Berowra Ferry (site 60; 33.5995øS, 151.1233øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.360, Sens slope = 0.004",,,,,,,,
71,TN:TP,-,17,1997-2013,17,monthly,1,"Berowra Ferry (site 60; 33.5995øS, 151.1233øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p < 0.0001, Sens slope = ?0.202",,,,,,,,
71,Total cell abundance,0,11,2003-2013,11,monthly,1,"Berowra Ferry (site 60; 33.5995øS, 151.1233øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.599, Sens slope = 1785",,,,,,,,
71,HAB cell abundance,0,11,2003-2013,11,monthly,1,"Berowra Ferry (site 60; 33.5995øS, 151.1233øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.729, Sens slope = -0.305",,,,,,,,
71,water temperature,0,17,1997-2013,17,monthly,1,"Calabash Bay (site 61; 33.5870øS, 151.1199øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.496, Sens slope = -0.003",,,,,,,,
71,Electrical conductivity,-,17,1997-2013,17,monthly,1,"Calabash Bay (site 61; 33.5870øS, 151.1199øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p < 0.0001, Sens slope = ?0.044",,,,,,,,
71,Turbidity,0,17,1997-2013,17,monthly,1,"Calabash Bay (site 61; 33.5870øS, 151.1199øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.122, Sens slope = 0.002",,,,,,,,
71,Dissolved oxygen,-,17,1997-2013,17,monthly,1,"Calabash Bay (site 61; 33.5870øS, 151.1199øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.004, Sens slope = - 0.046",,,,,,,,
71,pH,0,17,1997-2013,17,monthly,1,"Calabash Bay (site 61; 33.5870øS, 151.1199øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.173, Sens slope = ?0.0004",,,,,,,,
71,Salinity,-,17,1997-2013,17,monthly,1,"Calabash Bay (site 61; 33.5870øS, 151.1199øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.0001, Sens slope = - 0.03",,,,,,,,
71,suspended solids,0,17,1997-2013,17,monthly,1,"Calabash Bay (site 61; 33.5870øS, 151.1199øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.089, Sens slope = - 0.006",,,,,,,,
71,Ammonium,-,17,1997-2013,17,monthly,1,"Calabash Bay (site 61; 33.5870øS, 151.1199øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p < 0.0001, Sens slope = ?0.00007",,,,,,,,
71,Oxidised nitrogen,-,17,1997-2013,17,monthly,1,"Calabash Bay (site 61; 33.5870øS, 151.1199øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p < 0.0001, Sens slope = ?0.0006",,,,,,,,
71,total nitrogen,-,17,1997-2013,17,monthly,1,"Calabash Bay (site 61; 33.5870øS, 151.1199øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p < 0.0001, Sens slope = ?0.002",,,,,,,,
71,total phosphorus,0,17,1997-2013,17,monthly,1,"Calabash Bay (site 61; 33.5870øS, 151.1199øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.479, Sens slope = 0",,,,,,,,
71,Soluble reactive phosphorus,0,11,2003-2013,11,monthly,1,"Calabash Bay (site 61; 33.5870øS, 151.1199øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.143, Sens slope = 0",,,,,,,,
71,Chlorophyll-a,0,17,1997-2013,17,monthly,1,"Calabash Bay (site 61; 33.5870øS, 151.1199øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.83, Sens slope = 0",,,,,,,,
71,TN:TP,-,17,1997-2013,17,monthly,1,"Calabash Bay (site 61; 33.5870øS, 151.1199øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.001, Sens slope = - 0.103",,,,,,,,
71,Total cell abundance,0,11,2003-2013,11,monthly,1,"Calabash Bay (site 61; 33.5870øS, 151.1199øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.844, Sens slope = - 498",,,,,,,,
71,HAB cell abundance,0,11,2003-2013,11,monthly,1,"Calabash Bay (site 61; 33.5870øS, 151.1199øE)",Berowra Creek,Australia,Australia,310,Mann-Kendall test,"p = 0.277, Sens slope = 168",,,,,,,,
73,Total fish abundance,0,27,1985-2011,27,monthly,4,Gunston Cove,Potomac River,USA,North America,37995,ANOVA,p = 0.1764,,,,,,,,
74,phosphate,0,15,2000-2014,15,monthly,1,Before Dobromierz Reservoir,Strzegomka River,Poland,Europe,555,Mann-Kendall test,"p = 0.065, Kendall?s tau = - 0.113",,,,,,,,
74,total phosphorus,0,15,2000-2014,15,monthly,1,Before Dobromierz Reservoir,Strzegomka River,Poland,Europe,555,Mann-Kendall test,"p = 0.527, Kendall?s tau = - 0.040",,,,,,,,
76,water temperature,0,16,2000-2015,16,monthly,7,"S1 (dam site), S3 (Huo-Shao-Zhang), S5 (Hou-Keng-Tsz), S6 (Yuan-Yang-Tan), S7 (Ma-Zhu-Lin), S8 (Yong-An), S9 (Wan-Tan) and S11 (Huang-Ju-Pi)",Beishi River,Taiwan,Asia,303,Mann-Kendall test,"p > 0.05, slope = -0.007",,,,,,,,
76,Dissolved organic carbon,0,16,2000-2015,16,monthly,7,"S1 (dam site), S3 (Huo-Shao-Zhang), S5 (Hou-Keng-Tsz), S6 (Yuan-Yang-Tan), S7 (Ma-Zhu-Lin), S8 (Yong-An), S9 (Wan-Tan) and S11 (Huang-Ju-Pi)",Beishi River,Taiwan,Asia,303,Mann-Kendall test,"p > 0.05, slope = 0.004",,,,,,,,
