Article,Variables,Trend,Timeseries length [yr],Period,Number of individual years covers,Frequency [obs/yr],Number of stations,Stations,River basin,Nation,Continent,Basin area [km2],Method,Method parameters,,,,,,,,
11,Total ammonia nitrogen,-,17,2005-2021,17,yearly,1,HB2,Hangbu River,China,Asia,"4,246",Mann Kendall test,p < 0.05,,,,,,,,
12,water discharge,+,27,1990-2016,27,monthly,4,"Glomma (59.28?N 11.13?E), Drammenselva (59.75?N 10.01?E), Numedalsl†gen (59.10?N 10.07?E), Skienselva (59.20?N 9.61?E)","Glomma Rivers, Drammenselva Rivers, Numedalsl†gen Rivers, and Skienselva Rivers",Norway,Europe,"Glomma (41918), Drammenselva (17034), Numedalsl†gen (5577), and Skien- selva (10772).",Mann Kendall test,p = 0.011,,,,,,,,
12,nitrate,0,27,1990-2016,27,monthly,4,"Glomma (59.28?N 11.13?E), Drammenselva (59.75?N 10.01?E), Numedalsl†gen (59.10?N 10.07?E), Skienselva (59.20?N 9.61?E)","Glomma Rivers, Drammenselva Rivers, Numedalsl†gen Rivers, and Skienselva Rivers",Norway,Europe,"Glomma (41918), Drammenselva (17034), Numedalsl†gen (5577), and Skien- selva (10772).",Mann Kendall test,p = 0.53,,,,,,,,
12,phosphate,+,27,1990-2016,27,monthly,4,"Glomma (59.28?N 11.13?E), Drammenselva (59.75?N 10.01?E), Numedalsl†gen (59.10?N 10.07?E), Skienselva (59.20?N 9.61?E)","Glomma Rivers, Drammenselva Rivers, Numedalsl†gen Rivers, and Skienselva Rivers",Norway,Europe,"Glomma (41918), Drammenselva (17034), Numedalsl†gen (5577), and Skien- selva (10772).",Mann Kendall test,p = 0.0035,,,,,,,,
12,dissolved silicon,+,27,1990-2016,27,monthly,4,"Glomma (59.28?N 11.13?E), Drammenselva (59.75?N 10.01?E), Numedalsl†gen (59.10?N 10.07?E), Skienselva (59.20?N 9.61?E)","Glomma Rivers, Drammenselva Rivers, Numedalsl†gen Rivers, and Skienselva Rivers",Norway,Europe,"Glomma (41918), Drammenselva (17034), Numedalsl†gen (5577), and Skien- selva (10772).",Mann Kendall test,p = 0.008,,,,,,,,
12,suspended solids,0,27,1990-2016,27,monthly,4,"Glomma (59.28?N 11.13?E), Drammenselva (59.75?N 10.01?E), Numedalsl†gen (59.10?N 10.07?E), Skienselva (59.20?N 9.61?E)","Glomma Rivers, Drammenselva Rivers, Numedalsl†gen Rivers, and Skienselva Rivers",Norway,Europe,"Glomma (41918), Drammenselva (17034), Numedalsl†gen (5577), and Skien- selva (10772).",Mann Kendall test,p = 0.1,,,,,,,,
12,Total organic carbon,+,27,1990-2016,27,monthly,4,"Glomma (59.28?N 11.13?E), Drammenselva (59.75?N 10.01?E), Numedalsl†gen (59.10?N 10.07?E), Skienselva (59.20?N 9.61?E)","Glomma Rivers, Drammenselva Rivers, Numedalsl†gen Rivers, and Skienselva Rivers",Norway,Europe,"Glomma (41918), Drammenselva (17034), Numedalsl†gen (5577), and Skien- selva (10772).",Mann Kendall test,p = 0.038,,,,,,,,
12,total nitrogen,+,27,1990-2016,27,monthly,4,"Glomma (59.28?N 11.13?E), Drammenselva (59.75?N 10.01?E), Numedalsl†gen (59.10?N 10.07?E), Skienselva (59.20?N 9.61?E)","Glomma Rivers, Drammenselva Rivers, Numedalsl†gen Rivers, and Skienselva Rivers",Norway,Europe,"Glomma (41918), Drammenselva (17034), Numedalsl†gen (5577), and Skien- selva (10772).",Mann Kendall test,p = 0.02,,,,,,,,
12,total phosphorus,+,27,1990-2016,27,monthly,4,"Glomma (59.28?N 11.13?E), Drammenselva (59.75?N 10.01?E), Numedalsl†gen (59.10?N 10.07?E), Skienselva (59.20?N 9.61?E)","Glomma Rivers, Drammenselva Rivers, Numedalsl†gen Rivers, and Skienselva Rivers",Norway,Europe,"Glomma (41918), Drammenselva (17034), Numedalsl†gen (5577), and Skien- selva (10772).",Mann Kendall test,p = 0.022,,,,,,,,
16,nitrate,-,23,2000-2022,23,1-3 times/month,1,A1 (upstream),Spree River,Germany,Europe,"10,105",simple linear regression,"y = 28 - 0.000338x, R2 = 0.03, p = 0.015",,,,,,,,
16,nitrate,-,23,2000-2022,23,1-3 times/month,1,W1 (inlet of Spreewald; mid-catchment),Spree River,Germany,Europe,"10,105",simple linear regression,"y = 20.4 - 0.000796x, R2 = 0.08, p < 0.001",,,,,,,,
16,nitrate,0,20,2003-2022,20,1-3 times/month,1,W2 (outlet of Spreewald; mid-catchment),Spree River,Germany,Europe,"10,105",simple linear regression,"y = 0.684 - 0.0000135x, R2 < 0.01, p = 0.236",,,,,,,,
16,nitrate,-,20,2003-2022,20,1-3 times/month,1,U1 (inlet of Berlin; downstream),Spree River,Germany,Europe,"10,105",simple linear regression,"y = 0.875 - 0.0000267x, R2 = 0.02, p = 0.008",,,,,,,,
16,nitrate,-,23,2000-2022,23,1-3 times/month,1,U2 (outlet of Berlin; downstream),Spree River,Germany,Europe,"10,105",simple linear regression,"y = 1.23 - 0.0000287x, R2= 0.02, p = 0.024",,,,,,,,
16,water discharge,+,23,2000-2022,23,daily,1,A1 (upstream),Spree River,Germany,Europe,"10,105",simple linear regression,"y = 0.0997 + 0.00000694x, R2 < 0.01, p < 0.001",,,,,,,,
16,water discharge,0,23,2000-2022,23,daily,1,W1 (inlet of Spreewald; mid-catchment),Spree River,Germany,Europe,"10,105",simple linear regression,"y = 10.2 - 0.0000175x, R2 < 0.01, p = 0.670",,,,,,,,
16,water discharge,-,23,2000-2022,23,daily,1,W2 (outlet of Spreewald; mid-catchment),Spree River,Germany,Europe,"10,105",simple linear regression,"y = 18.2 - 0.000201x, R2 < 0.01, p < 0.001",,,,,,,,
16,water discharge,0,23,2000-2022,23,daily,1,U1 (inlet of Berlin; downstream),Spree River,Germany,Europe,"10,105",simple linear regression,"y = 6.66 + 0.00000455x, R2 < 0.01, p = 0.883",,,,,,,,
16,water discharge,-,23,2000-2022,23,daily,1,U2 (outlet of Berlin; downstream),Spree River,Germany,Europe,"10,105",simple linear regression,"y = 38.8 - 0.000726x, R2 < 0.01, p < 0.001",,,,,,,,
23,Nitrate load,0,37,1980-2016,37,biweekly,1,"Bloemhof Dam (C9H021), inlet",Lower Vaal River,South Africa,Africa,"7,220",Mann Kendall test,"Kendall's tau = -0.034, p = 0.648, Sen's slope = -0.458",,,,,,,,
23,Nitrate load,0,32,1987-2018,32,biweekly,1,"Vaalharts Weir (C9H008), outlet",Lower Vaal River,South Africa,Africa,"7,220",Mann Kendall test,"Kendall's tau = 0.102, p = 0.134, Sen's slope = 1.528",,,,,,,,
23,Phosphate load,+,37,1980-2016,37,biweekly,1,"Bloemhof Dam (C9H021), inlet",Lower Vaal River,South Africa,Africa,"7,220",Mann Kendall test,"Kendall's tau = 0.536, p < 0.0001, Sen's slope = 1.874",,,,,,,,
23,Phosphate load,+,32,1987-2018,32,biweekly,1,"Vaalharts Weir (C9H008), outlet",Lower Vaal River,South Africa,Africa,"7,220",Mann Kendall test,"Kendall's tau = 0.196, p = 0.011, Sen's slope = 0.568",,,,,,,,
